*.POLINA,N/A,N/A
*.NOKOYAWA,N/A,N/A
*.vvwq,N/A,N/A
*.vveo,N/A,N/A
*.vvew,N/A,N/A
*.1more,N/A,N/A
*.hhyu,N/A,N/A
*.kizu,N/A,N/A
*.araicrypt,N/A,N/A
*.69,N/A,N/A
*.Kriptor,N/A,N/A
*.ooxa,N/A,N/A
*.blueKey,N/A,N/A
*.ggwq,N/A,N/A
*.ggew,N/A,N/A
*.ggeo,N/A,N/A
*.ggyu,N/A,N/A
*.xrom,N/A,N/A
*.h0lyenc,N/A,N/A
*.bianlian,N/A,N/A
*.hheo,N/A,N/A
*.GetAnAntivirus,N/A,N/A
*.youfileslock,N/A,N/A
*.hhew,N/A,N/A
*.FIASKO,N/A,N/A
*.U2K,N/A,N/A
*.hhwq,N/A,N/A
*.0mega,N/A,N/A
*.jjyy;,N/A,N/A
*.w3qupe,N/A,N/A
*.ghsd,N/A,N/A
*.FartingGiraffeAttacks,N/A,N/A
*.ner,N/A,N/A
*.dkrf,N/A,N/A
*.eiur,N/A,N/A
*.lux,N/A,N/A
*.REVENLOCK7,N/A,N/A
*.llqq,N/A,N/A
*.baal,N/A,N/A
*.REDTM…,N/A,N/A
*.WFA_RANSOM,N/A,N/A
Developing!,N/A,N/A
*.DENO;,N/A,N/A
*.PayForKey,N/A,N/A
*.lloo;,N/A,N/A
*.newware,N/A,N/A
*.FARGO,N/A,N/A
*.harditem,N/A,N/A
*.eijy,N/A,N/A
*.efvc,N/A,N/A
*.hkgt,N/A,N/A
*.anigma,N/A,N/A
*.ritzer,N/A,N/A
*.bbii,N/A,N/A
*.bbyy,N/A,N/A
*.tusk,N/A,N/A
*.checkmate,N/A,N/A
*.EMPg296LCK,N/A,N/A
*.WsIR,N/A,N/A
*.eegf,N/A,N/A
*.PAY2DECRYPT,N/A,N/A
*.linda,N/A,N/A
*.bnrs,N/A,N/A
*.eefg,N/A,N/A
*.rrcc,N/A,N/A
*.rrbb,N/A,N/A
*.rryy,N/A,N/A
*.r3tr0,N/A,N/A
*.moonshadow,N/A,N/A
*.decrypt,N/A,N/A
*.EAFE,N/A,N/A
*.zfdv,N/A,N/A
*.uihj,N/A,N/A
*.ewdf,N/A,N/A
*.StrongX,N/A,N/A
*.bydes,N/A,N/A
*.zpps,N/A,N/A
*.qlln,N/A,N/A
*.lXXwXXXNQ,N/A,N/A
*.Ehehehx12,N/A,N/A
*.nnuz,N/A,N/A
*.trins,N/A,N/A
*.KsiRu0w2,N/A,N/A
*.fefg,N/A,N/A
*.wunl,N/A,N/A
*.irfk,N/A,N/A
*.ZareuS,N/A,N/A
*.crypter,N/A,N/A
*.egfg,N/A,N/A
*.cryptbit,N/A,N/A
*.fdcv,N/A,N/A
*.hruu,N/A,N/A
*.vgvx,N/A,N/A
*.ooii,N/A,N/A
*.dfwe,N/A,N/A
*.matamoe,N/A,N/A
*.FIXED,N/A,N/A
*.34r7hGr455,N/A,N/A
*.cyn,N/A,N/A
*.txlck,N/A,N/A
*.errz,N/A,N/A
*.ifla,N/A,N/A
*.bozon3,N/A,N/A
*.WanaCray2023+,N/A,N/A
*.japan,N/A,N/A
*.titancrypt,N/A,N/A
*.Mal,N/A,N/A
*.mine,N/A,N/A
*.xcvf,N/A,N/A
*.bbnm,N/A,N/A
*.sijr,N/A,N/A
.nigra,N/A,N/A
*.selena,N/A,N/A
*.ttii,N/A,N/A
*.mmob,N/A,N/A
*.hhjk,N/A,N/A
*.n53yb34tbb2,N/A,N/A
*.axxes,N/A,N/A
*.jhgn,N/A,N/A
*.jhbg,N/A,N/A
*.dewd,N/A,N/A
*.basta,N/A,N/A
*.LokiLok,N/A,N/A
*.huis_bn,N/A,N/A
*.gzgzqc,N/A,N/A
*.iroubalsct,N/A,N/A
*.zazas,N/A,N/A
*.jhdd,N/A,N/A
*.dmay,N/A,N/A
*.msjd,N/A,N/A
*.fX,N/A,N/A
*.ZORN,N/A,N/A
*.phntm,N/A,N/A
*.ygvb,N/A,N/A
*.dwqs,N/A,N/A
*.nuhb,N/A,N/A
*.dqws,N/A,N/A
*.blaze,N/A,N/A
*.stopfiles,N/A,N/A
*.ust29,N/A,N/A
*.phmqdw,N/A,N/A
*.session,N/A,N/A
*.blockZ,N/A,N/A
*.democ,N/A,N/A
*.sdhvqq,N/A,N/A
*.Gilfillan,N/A,N/A
*.Cj,N/A,N/A
*.ghas,N/A,N/A
*.hajd,N/A,N/A
*.fgnh,N/A,N/A
*.qpss,N/A,N/A
*.NB65,N/A,N/A
*.MATILAN,N/A,N/A
*.bozon,N/A,N/A
*.uyjh,N/A,N/A
*.tuid,N/A,N/A
*.Chuklock,N/A,N/A
*.udla,N/A,N/A
*.gtys,N/A,N/A
*.mpag,N/A,N/A
*.voom,N/A,N/A
*.snwd,N/A,N/A
*.[Bomani@Email.Com],N/A,N/A
*.kxde,N/A,N/A
*.wdlo,N/A,N/A
*.kkia,N/A,N/A
*.ssoi,N/A,N/A
*.pphg,N/A,N/A
*.hfgd,N/A,N/A
*.rguy,N/A,N/A
*.mmuz,N/A,N/A
*.gdwill,N/A,N/A
*.uigd,N/A,N/A
*.eyrv,N/A,N/A
*.vlff,N/A,N/A
*.chernobyl,N/A,N/A
*.iFire,N/A,N/A
*.acepy,N/A,N/A
*.vtym,N/A,N/A
*.reL,N/A,N/A
*.fopa,N/A,N/A
*.qbaa,N/A,N/A
